Elevation,North,South,Total
4205.3,6584680.224,10688055.04,17272735.26
4205.4,6626620.224,10761935.04,17388555.26
4205.5,6668560.224,10835815.04,17504375.26
4205.6,6710667.424,10909695.04,17620362.46
4205.7,6753367.424,10983575.04,17736942.46
4205.8,6796067.424,11058420.64,17854488.06
4205.9,6838767.424,11133660.64,17972428.06
4206,6881467.424,11208900.64,18090368.06
4206.1,6924334.624,11284140.64,18208475.26
4206.2,6967794.624,11359380.64,18327175.26
4206.3,7011254.624,11435586.24,18446840.86
4206.4,7054714.624,11512186.24,18566900.86
4206.5,7098174.624,11588786.24,18686960.86
4206.6,7141801.824,11665386.24,18807188.06
4206.7,7186021.824,11741986.24,18928008.06
4206.8,7230241.824,11819566.04,19049807.86
4206.9,7274461.824,11897546.04,19172007.86
4207,7318681.824,11975526.04,19294207.86
4207.1,7363069.024,12053506.04,19416575.06
4207.2,7408049.024,12131486.04,19539535.06
4207.3,7453029.024,12210374.84,19663403.86
4207.4,7498009.024,12289634.84,19787643.86
4207.5,7542989.024,12368894.84,19911883.86
4207.6,7588136.224,12448154.84,20036291.06
4207.7,7633876.224,12527414.84,20161291.06
4207.8,7679616.224,12607526.84,20287143.06
4207.9,7725356.224,12687986.84,20413343.06
4208,7771096.224,12768446.84,20539543.06
4208.1,7816985.824,12848906.84,20665892.66
4208.2,7863405.824,12929366.84,20792772.66
4208.3,7909825.824,13010622.04,20920447.86
4208.4,7956245.824,13092202.04,21048447.86
4208.5,8002665.824,13173782.04,21176447.86
4208.6,8049217.824,13255362.04,21304579.86
4208.7,8096237.824,13336942.04,21433179.86
4208.8,8143257.824,13419274.64,21562532.46
4208.9,8190277.824,13501914.64,21692192.46
4209,8237297.824,13584554.64,21821852.46
4209.1,8284454.224,13667194.64,21951648.86
4209.2,8332094.224,13749834.64,22081928.86
4209.3,8379734.224,13833227.24,22212961.46
4209.4,8427374.224,13916927.24,22344301.46
4209.5,8475014.224,14000627.24,22475641.46
4209.6,8522790.624,14084327.24,22607117.86
4209.7,8571050.624,14168027.24,22739077.86
4209.8,8619310.624,14252465.64,22871776.26
4209.9,8667570.624,14337205.64,23004776.26
4210,8715830.624,14421945.64,23137776.26
4210.1,8764222.624,14506685.64,23270908.26
4210.2,8813082.624,14591425.64,23404508.26
4210.3,8861942.624,14676918.24,23538860.86
4210.4,8910802.624,14762718.24,23673520.86
4210.5,8959662.624,14848518.24,23808180.86
4210.6,9008659.024,14934318.24,23942977.26
4210.7,9058139.024,15020118.24,24078257.26
4210.8,9107619.024,15106670.84,24214289.86
4210.9,9157099.024,15193530.84,24350629.86
4211,9206579.024,15280390.84,24486969.86
4211.1,9256191.024,15367250.84,24623441.86
4211.2,9306271.024,15454110.84,24760381.86
4211.3,9356351.024,15542632.24,24898983.26
4211.4,9406431.024,15631832.24,25038263.26
4211.5,9456511.024,15721032.24,25177543.26
4211.6,9506727.424,15810232.24,25316959.66
4211.7,9557427.424,15899432.24,25456859.66
4211.8,9608127.424,15991202.44,25599329.86
4211.9,9658827.424,16084022.44,25742849.86
4212,9709527.424,16176842.44,25886369.86
4212.1,9760333.024,16269662.44,26029995.46
4212.2,9811513.024,16362482.44,26173995.46
4212.3,9862693.024,16457375.64,26320068.66
4212.4,9913873.024,16553115.64,26466988.66
4212.5,9965053.024,16648855.64,26613908.66
4212.6,10016312.22,16744595.64,26760907.86
4212.7,10067852.22,16840335.64,26908187.86
4212.8,10119392.22,16937197.44,27056589.66
4212.9,10170932.22,17034517.44,27205449.66
4213,10222472.22,17131837.44,27354309.66
4213.1,10274095.82,17229157.44,27503253.26
4213.2,10326015.82,17326477.44,27652493.26
